RespondentID,Age,Gender,Education,Employment,Income,Opinion1,Opinion2,Opinion3,Satisfaction
100100,29,Male,Bachelor's,Employed,40000,Agree,Neutral,Disagree,4
100200,35,Female,Master's,Self-employed,55000,Strongly Agree,Agree,Neutral,5
100300,42,Other,High School,Unemployed,0,Disagree,Strongly Disagree,Agree,2
100400,28,Female,Doctorate,Employed,70000,Neutral,Agree,Strongly Agree,5
100500,33,Male,Bachelor's,Employed,45000,Agree,Neutral,Disagree,3
107700,49,Male,Bachelor's,Self-employed,100000,Strongly Disagree,Neutral,Agree,5
105700,27,Female,Master's,Self-employed,25000,Agree,Disagree,Agree,2
104300,49,Male,Doctorate,Self-employed,100000,Agree,Disagree,Agree,2
104200,36,Male,Bachelor's,Self-employed,100000,Neutral,Strongly Disagree,Disagree,1
108400,22,Male,High School,Employed,0,Strongly Agree,Strongly Disagree,Strongly Disagree,2
101800,64,Female,Bachelor's,Employed,55000,Agree,Neutral,Agree,3
104100,38,Other,Bachelor's,Unemployed,40000,Disagree,Agree,Neutral,5
102200,22,Male,High School,Student,25000,Strongly Disagree,Strongly Disagree,Neutral,1
102700,22,Other,Doctorate,Unemployed,85000,Strongly Disagree,Agree,Disagree,1
107800,65,Other,Doctorate,Unemployed,70000,Strongly Disagree,Strongly Agree,Disagree,1
105800,63,Other,Bachelor's,Self-employed,40000,Strongly Agree,Strongly Agree,Neutral,1
104000,28,Male,Bachelor's,Student,100000,Agree,Agree,Agree,3
106100,36,Male,High School,Self-employed,25000,Agree,Neutral,Strongly Agree,2
109600,52,Male,High School,Unemployed,85000,Neutral,Strongly Disagree,Agree,3
106000,23,Female,Doctorate,Unemployed,40000,Agree,Agree,Strongly Agree,1
100900,53,Female,Master's,Unemployed,0,Strongly Agree,Disagree,Disagree,4
105600,35,Other,Doctorate,Student,55000,Strongly Agree,Neutral,Agree,4
105701,24,Other,Bachelor's,Self-employed,25000,Disagree,Agree,Strongly Agree,1
102800,62,Other,Bachelor's,Student,100000,Strongly Agree,Disagree,Neutral,4
103700,27,Female,Master's,Employed,100000,Agree,Strongly Disagree,Neutral,5
102701,38,Other,Master's,Self-employed,100000,Disagree,Strongly Agree,Strongly Agree,2
104800,44,Male,Master's,Self-employed,40000,Neutral,Disagree,Agree,1
102000,56,Male,High School,Unemployed,55000,Strongly Agree,Strongly Agree,Disagree,1
102300,37,Female,Doctorate,Unemployed,55000,Agree,Strongly Agree,Agree,2
104001,44,Female,High School,Employed,55000,Strongly Disagree,Neutral,Neutral,3
101200,35,Female,Doctorate,Unemployed,25000,Neutral,Strongly Disagree,Disagree,4
